block_id	seq_id	bin_id	start	end	seq_id2	bin_id2	start2	end2	strand	block_ori	colour_block
5	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	2115722	2536891	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	2151104	2587733	+	-	DroMel#1#2L
5	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	2151104	2587733	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	3707635	4234206	-	-	DroMel#1#2L
6	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	2580394	3452108	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	2537277	3387299	+	-	DroMel#1#2L
6	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	2537277	3387299	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	2588114	3445893	+	-	DroMel#1#2L
6	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	2588114	3445893	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	5714660	6791794	-	-	DroMel#1#2L
7	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	3452993	3514203	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	3388162	3456609	+	-	DroMel#1#2L
7	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	3388162	3456609	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	3446750	3507854	+	-	DroMel#1#2L
7	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	3446750	3507854	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	3005648	3074951	-	-	DroMel#1#2L
8	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	3514876	3656667	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	3457279	3592443	+	-	DroMel#1#2L
8	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	3457279	3592443	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	3508525	3643796	+	-	DroMel#1#2L
8	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	3508525	3643796	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	10014805	10169629	-	-	DroMel#1#2L
9	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	3658172	4345758	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	3593884	4283106	+	-	DroMel#1#2L
9	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	3593884	4283106	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	3645250	4336025	+	-	DroMel#1#2L
9	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	3645250	4336025	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	1170777	1991388	-	-	DroMel#1#2L
10	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	4346633	4967772	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	4283947	4878328	+	-	DroMel#1#2L
10	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	4283947	4878328	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	4336867	4935246	+	-	DroMel#1#2L
10	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	4336867	4935246	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	6792175	7541283	-	-	DroMel#1#2L
11	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	4968128	5517244	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	4878678	5427282	+	-	DroMel#1#2L
11	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	4878678	5427282	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	4935605	5488676	+	-	DroMel#1#2L
11	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	4935605	5488676	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	3076344	3707205	-	-	DroMel#1#2L
12	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	5518828	5552031	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	5428887	5461947	+	-	DroMel#1#2L
12	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	5428887	5461947	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	5490272	5523563	+	-	DroMel#1#2L
12	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	5490272	5523563	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	12104962	12140612	-	-	DroMel#1#2L
13	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	5552952	5942306	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	5462834	5842678	+	-	DroMel#1#2L
13	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	5462834	5842678	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	5524486	5916727	+	-	DroMel#1#2L
13	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	5524486	5916727	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	15046374	15513887	-	-	DroMel#1#2L
17	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	6456983	6661641	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	6335656	6543809	+	+	DroMel#1#2L
17	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	6335656	6543809	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	6419715	6633300	+	+	DroMel#1#2L
17	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	6419715	6633300	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	16290607	16572955	+	+	DroMel#1#2L
18	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	6664177	6684197	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	6546350	6566371	+	-	DroMel#1#2L
18	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	6546350	6566371	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	6635829	6655785	+	-	DroMel#1#2L
18	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	6635829	6655785	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	16577546	16600718	-	-	DroMel#1#2L
19	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	6686927	6971456	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	6569030	6853305	+	-	DroMel#1#2L
19	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	6569030	6853305	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	6658459	6938011	+	-	DroMel#1#2L
19	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	6658459	6938011	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	16602106	16944074	-	-	DroMel#1#2L
20	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	6972872	7699157	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	6854772	7562165	+	+	DroMel#1#2L
20	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	6854772	7562165	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	6939565	7658492	+	+	DroMel#1#2L
20	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	6939565	7658492	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	16947498	17816618	+	+	DroMel#1#2L
21	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	7702816	7713323	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	7565768	7576226	+	-	DroMel#1#2L
21	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	7565768	7576226	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	7662107	7672565	+	-	DroMel#1#2L
21	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	7662107	7672565	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	17834947	17846332	-	-	DroMel#1#2L
22	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	7715183	7810593	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	7577821	7672291	+	+	DroMel#1#2L
22	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	7577821	7672291	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	7674444	7766320	+	+	DroMel#1#2L
22	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	7674444	7766320	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	17848768	17949400	+	+	DroMel#1#2L
23	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	7811912	8026450	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	7673667	7871229	+	-	DroMel#1#2L
23	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	7673667	7871229	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	7767722	7971246	+	-	DroMel#1#2L
23	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	7767722	7971246	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	24499133	24789003	-	-	DroMel#1#2L
24	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	8027696	8133956	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	7872475	7978003	+	-	DroMel#1#2L
24	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	7872475	7978003	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	7972494	8078313	+	-	DroMel#1#2L
24	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	7972494	8078313	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	24161986	24311672	-	-	DroMel#1#2L
25	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	8134327	8196914	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	7978423	8040609	+	-	DroMel#1#2L
25	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	7978423	8040609	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	8078746	8141547	+	-	DroMel#1#2L
25	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	8078746	8141547	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	19054281	19121086	-	-	DroMel#1#2L
26	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	8199103	8487868	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	8042955	8321465	+	-	DroMel#1#2L
26	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	8042955	8321465	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	8143880	8422144	+	-	DroMel#1#2L
26	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	8143880	8422144	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	4263319	4614516	-	-	DroMel#1#2L
27	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	8489390	8517193	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	8322994	8350521	+	+	DroMel#1#2L
27	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	8322994	8350521	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	8423682	8451359	+	+	DroMel#1#2L
27	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	8423682	8451359	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	14985862	15020192	+	+	DroMel#1#2L
28	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	8522033	8754661	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	8355295	8573353	+	-	DroMel#1#2L
28	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	8355295	8573353	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	8456169	8688875	+	-	DroMel#1#2L
28	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	8456169	8688875	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	25112356	25585561	-	-	DroMel#1#2L
30	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	8758242	8959389	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	8576961	8776710	+	-	DroMel#1#2L
30	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	8576961	8776710	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	8692428	8893257	+	-	DroMel#1#2L
30	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	8692428	8893257	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	24844872	25102119	-	-	DroMel#1#2L
31	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	8969609	9897519	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	8787327	9685015	+	+	DroMel#1#2L
31	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	8787327	9685015	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	8903765	9819640	+	+	DroMel#1#2L
31	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	8903765	9819640	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	17952433	19051278	+	+	DroMel#1#2L
32	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	9903383	10299222	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	9692179	10086767	+	+	DroMel#1#2L
32	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	9692179	10086767	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	9829762	10206038	+	+	DroMel#1#2L
32	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	9829762	10206038	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	4615044	5057166	+	+	DroMel#1#2L
33	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	10302378	11516837	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	10089962	11276514	+	+	DroMel#1#2L
33	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	10089962	11276514	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	10209251	11417374	+	+	DroMel#1#2L
33	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	10209251	11417374	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	20315743	21821580	+	+	DroMel#1#2L
34	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	11525418	12546436	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	11285821	12291270	+	+	DroMel#1#2L
34	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	11285821	12291270	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	11426494	12420402	+	+	DroMel#1#2L
34	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	11426494	12420402	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	21895332	23187750	+	+	DroMel#1#2L
35	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	12547808	12926658	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	12292616	12643161	+	+	DroMel#1#2L
35	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	12292616	12643161	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	12421769	12775702	+	+	DroMel#1#2L
35	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	12421769	12775702	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	23244120	23713613	+	+	DroMel#1#2L
36	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	12926758	13191916	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	12643261	12900126	+	+	DroMel#1#2L
36	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	12643261	12900126	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	12775802	13036701	+	+	DroMel#1#2L
36	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	12775802	13036701	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	23792498	24160951	+	+	DroMel#1#2L
37	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	13192686	14011488	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	12900898	13697541	+	+	DroMel#1#2L
37	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	12900898	13697541	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	13037470	13834420	+	+	DroMel#1#2L
37	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	13037470	13834420	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	19121743	20056731	+	+	DroMel#1#2L
38	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	14012510	14587472	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	13698541	14290784	+	+	DroMel#1#2L
38	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	13698541	14290784	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	13835435	14405923	+	+	DroMel#1#2L
38	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	13835435	14405923	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	9363776	10012219	+	+	DroMel#1#2L
39	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	14589702	15498524	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	14293548	15179298	+	+	DroMel#1#2L
39	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	14293548	15179298	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	14409215	15301734	+	+	DroMel#1#2L
39	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	14409215	15301734	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	1995834	3004582	+	+	DroMel#1#2L
40	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	15499220	16287389	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	15179996	15927238	+	+	DroMel#1#2L
40	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	15179996	15927238	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	15302409	16026719	+	+	DroMel#1#2L
40	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	15302409	16026719	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	10170267	11002629	+	+	DroMel#1#2L
41	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	16288325	16325040	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	15928203	15964722	+	+	DroMel#1#2L
41	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	15928203	15964722	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	16027684	16064148	+	+	DroMel#1#2L
41	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	16027684	16064148	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	20240543	20279965	+	+	DroMel#1#2L
42	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	16328287	16887850	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	15968026	16525907	+	+	DroMel#1#2L
42	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	15968026	16525907	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	16067458	16638446	+	+	DroMel#1#2L
42	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	16067458	16638446	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	5058571	5714202	+	+	DroMel#1#2L
43	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	16888498	19431857	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	16526575	19045934	+	+	DroMel#1#2L
43	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	16526575	19045934	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	16639108	19161942	+	+	DroMel#1#2L
43	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	16639108	19161942	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	12142283	14984515	+	+	DroMel#1#2L
44	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	19432566	19453143	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	19046616	19067249	+	-	DroMel#1#2L
44	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	19046616	19067249	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	19162627	19183203	+	-	DroMel#1#2L
44	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	19162627	19183203	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	4236011	4261735	-	-	DroMel#1#2L
45	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	19455321	20100633	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	19069386	19681492	+	-	DroMel#1#2L
45	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	19069386	19681492	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	19185335	19793366	+	-	DroMel#1#2L
45	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	19185335	19793366	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	11014498	11678315	-	-	DroMel#1#2L
46	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	20121481	20147794	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	19712699	19738840	+	-	DroMel#1#2L
46	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	19712699	19738840	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	19815261	19841506	+	-	DroMel#1#2L
46	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	19815261	19841506	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	20193519	20224106	-	-	DroMel#1#2L
47	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	20224596	20349708	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	19787073	19900809	+	-	DroMel#1#2L
47	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	19787073	19900809	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	19892986	19999569	+	-	DroMel#1#2L
47	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	19892986	19999569	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	20058055	20191956	-	-	DroMel#1#2L
48	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	20350497	20918082	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	19901620	20485558	+	-	DroMel#1#2L
48	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	19901620	20485558	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	20000382	20581194	+	-	DroMel#1#2L
48	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	20000382	20581194	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	8769455	9361353	-	-	DroMel#1#2L
49	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	20919713	21204508	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	20487196	20759900	+	+	DroMel#1#2L
